,country,description,designation,points,price,province,first_region,second_region,taster_name,taster_twitter_handle,title,variety,winery,Latitude,Longitude
14087,US,"Power and grace combine in this great fortified wine. Already 10 years old, it will age gracefully through at least 2030 if kept in a cool cellar. The aromas combine ripe, vivid cherry and blackberry with caramel accents. Flavors are very ripe but tangy at the same time, echoing plum jam and toffee on the finish.",Starboard Dessert Wine,95,34,California,Amador County,Sierra Foothills,Jim Gordon,@gordone_cellars,Quady 2006 Starboard Dessert Wine Port (Amador County),Port,Quady,38.3488921,-120.7740931
1506,US,"From the beautiful, historic site planted to some of the oldest vines of the variety in Northern California, this delicious white explodes in juicy green apple and an intensity of fresh-squeezed lemon. That succulence lingers atop a lengthy, salty texture wrapped in subtle, supportive oak.",To Kalon Vineyard Estate Grown Reserve,95,40,California,Oakville,Napa,Virginie Boone,@vboone,Robert Mondavi 2014 To Kalon Vineyard Estate Grown Reserve Fum?? Blanc (Oakville),Fum?? Blanc,Robert Mondavi,43.467517,-79.6876659
1505,US,"A wine marking the 50th anniversary of Robert Mondavi Winery's founding, this shows the grandeur of the man, the vineyard and the vintage. Full bodied and robust, it's intense in bark, tar and black licorice, with dottings of coconut. Aromatically inviting, it's dusty and soft, with acres of complexity and structure. Enjoy it in 2023 and beyond.",To Kalon Vineyard 50th Anniversary Reserve,95,155,California,Oakville,Napa,Virginie Boone,@vboone,Robert Mondavi 2013 To Kalon Vineyard 50th Anniversary Reserve Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Robert Mondavi,43.467517,-79.6876659
14084,US,"Brian and Stephy Terrizzi have added this luxury-level bottling to their more affordably focused brand of wines, and it's an impressive addition. A deep and dense nose unleashes blackberries, licorice, crushed volcanic rocks, sexy dark chocolate, violet and black spice. Flavors of olallieberry and creamy dark and milk chocolate erupt on the palate, held together by soft tannins and energetic acidity. Drink 2017É??2033.",Ephemera,95,125,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Broadside 2013 Ephemera Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Broadside,35.6368759,-120.6545022
5244,US,"Homer is the winery's top level reserve cuv??e. Aromatic and complete in every detail, it opens with cinnamon and violet scents, plum and cherry fruit soaked in mocha chocolate and the density and complexity that only the finest Pinot Noirs attain. Drink with pleasure now through the 2020s.",Shea Vineyard Homer,95,92,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine?ˇ,Shea 2014 Shea Vineyard Homer Pinot Noir (Willamette Valley),Pinot Noir,Shea,44.942554,-122.9337615
418,US,"Sunflower-gold in color, this heady, hedonistic Chardonnay brims with aromas of toasted brioche, lemon and herb. Bright and completely balanced, it invites sip after sip until there simply is no more. Concentrated and complex it finishes dry, lingering in beautiful layers on the tongue.",Ellen Lane Estate,95,75,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Paul Hobbs 2012 Ellen Lane Estate Chardonnay (Russian River Valley),Chardonnay,Paul Hobbs,38.483083,-122.80327
11116,US,"Plump aromas of black cherry, mulberry, vanilla and star anise rise on the rich but not overbearing nose of this wine. There is dark-fruit ripeness on the front, but then comes a heavy array of spices, from allspice and clove to thyme and dried sage. The texture is soft, yet the tannins are noticeable and the acidity is buoyant.",Single Vineyard La Coupelle,95,60,California,Arroyo Grande Valley,Central Coast,Matt Kettmann,@mattkettmann,Laetitia 2015 Single Vineyard La Coupelle Pinot Noir (Arroyo Grande Valley),Pinot Noir,Laetitia,35.1443363,-120.543623
3653,US,"This is the first wine to be blended each year, though it is not labeled a reserve. The new vintage has amazing depth, running down through a litany of red and black fruits, into veins of earth and tannin and graphite, and finishing with densely textured barrel notes of toast, coffee and bitter chocolate. Beautifully proportioned, deep and cellarworthy.",Dead Horse,95,45,Washington,Red Mountain,Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Mark Ryan 2008 Dead Horse Red (Red Mountain),Bordeaux-style Red Blend,Mark Ryan,49.1024147,-117.8194705
16813,US,"Half Cabernet Franc, 37% Merlot, and 13% Cabernet Sauvignon, this is one of a handful of Cayuse wines that spends a few months in new oak (about 50%). Done in a Claret style, it's firm, lightly toasty, with explosive dark fruits, streaked with umami, saline sea scents, dried plum, fig, cassis, earth and herbs all entwined to create compelling aromatics that carry through to an impressive finish.",Flying Pig,95,85,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Cayuse 2010 Flying Pig Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,Cayuse,46.0655953,-118.3387429
16812,US,"Density is a hallmark of all the Silverback reds, and this is the biggest of them all. It's packed tight and almost impenetrable until it's had several hours of breathing time. A mouthful of black fruits is set amidst a sea of darker flavors: tar, smoke, charcoal, graphite, cacao, licorice and espresso grounds. Put this one aside for up to a decade.",Reserve,95,240,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Silverback 2011 Reserve Syrah (Columbia Valley (WA)),Syrah,Silverback,48.9220655,-122.1390398
5254,US,"This wine is a study of how to make Pinot Noir both extremely light and yet powerfully flavorful. Underripe black raspberry meets with white pepper and dill on the nose. The bright and lively palate dances across the tongue with thyme, rosemary and pine flavors against tart red fruit. It's easy to guzzle.",Coast Grade Vineyard,95,48,California,Ben Lomond Mountain,Central Coast,Matt Kettmann,@mattkettmann,Big Basin 2014 Coast Grade Vineyard Pinot Noir (Ben Lomond Mountain),Pinot Noir,Big Basin,41.363274,-111.960498
5253,US,"Sublime and gritty in stony, gravelly texture, this wine surprises and awes in its commingling of salty lime, focused acidity and complex tones of apple, pear and fig. Medium-bodied, it unravels slowly in the glass, continuing to pursue different avenues of flavor and intellectual pleasure.",Dutton Ranch,95,42,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Anaba 2014 Dutton Ranch Chardonnay (Sonoma Coast),Chardonnay,Anaba,38.4052701,-123.096764
5252,US,"Quite dark in the glass, this bottling from tech power couple T.J. and Valeta Rodgers offers rich aromas of dried Mission fig, elderberry and black cherry, along with clay, loam and purple flowers. There is an impressive, almost muddy thickness to the palate, without being sweet or rich at all, showing flavors thyme, dill, mint and lavender against a core of dark red fruit.",Domaine Lois Louise Cote Sud,95,82,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Clos de la Tech 2012 Domaine Lois Louise Cote Sud Pinot Noir (Santa Cruz Mountains),Pinot Noir,Clos de la Tech,37.1108921,-121.8448906
5251,US,"As fabulous as ever, this brilliant compendium of nutty-toasty-buttery scents and flavors is never tiring. It's vivid, fruit-loaded and bracing. Well-ripened citrus and stone fruits come into focus, along with streaks of vanilla and lemongrass.",Shea Vineyard,95,35,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine?ˇ,Shea 2014 Shea Vineyard Chardonnay (Willamette Valley),Chardonnay,Shea,44.942554,-122.9337615
5250,US,"It's no exaggeration to say that the 2014 releases from Shea are the best (as an entire group) in the winery's history. Could be maturing of the vines, along with a textbook perfect vintage, but whatever the reasons, these wines are not to be missed. Floral highlights, potent ripe cherry fruit, a dusting of cocoa powder and myriad layers come together in this irresistible, impeccably balanced block selection.",Shea Vineyard Block 7,95,66,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine?ˇ,Shea 2014 Shea Vineyard Block 7 Pinot Noir (Willamette Valley),Pinot Noir,Shea,44.942554,-122.9337615
3652,US,"Seductive and complex, the inviting aromas mix incense, blueberries, cassis, licorice and threads of herb and graphite. Flavors are wrapped tightly and unfold gracefully through a long finish. The herbal side of Cabernet is noted without being intrusive. Classic, deep and expressive.",P??re de Famille,95,60,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Betz Family 2008 P??re de Famille Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Betz Family,48.9220655,-122.1390398
10764,US,"This wine delivers creamy, divine deliciousness from some of the vineyard's oldest vines. It's voluptuous and nutty, layered with preserved lemon, brioche, quince and kumquat flavors. A touch of green olive savoriness dances on the finish, framed by fresh acidity.",Ritchie Vineyard,95,70,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Arista 2014 Ritchie Vineyard Chardonnay (Russian River Valley),Chardonnay,Arista,38.483083,-122.80327
5247,US,"These are in fact the original Pinot Noir vines planted in the Willamette Valley, back in the mid-1960s. An explosion of sensory detail quickly opens up the wine, with pollen, sandalwood, sassafras and coffee grounds. Those flavors wrap around blackberry, licorice and cola, continuing to expand and explore the far reaches of the palate. Phylloxera may soon eliminate these vines, so don't wait to acquire a bit of history in a bottle.",Original Vines Estate,95,80,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine?ˇ,The Eyrie Vineyards 2014 Original Vines Estate Pinot Noir (Dundee Hills),Pinot Noir,The Eyrie Vineyards,45.277904,-123.018535
5245,US,"Winemaker Bradley Brown manages to capture all of the redwood forest-like spice of this region in his lithe bottlings. This one offers fresh pomegranate and rose petal on the nose, plus woody touches of sandalwood and cedar. Bright acidity kicks off the sip, dropping into pencil shavings, thyme and cola, with dried raspberry fruit that runs from end to end.",Lester Family Vineyard,95,48,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Big Basin 2014 Lester Family Vineyard Pinot Noir (Santa Cruz Mountains),Pinot Noir,Big Basin,37.1108921,-121.8448906
20810,US,"This is a top bottling from one of the appellation's first superstar wineries. Aromas of baked red cherry and red plum are dusted with nutmeg, clove and a crushed-slate minerality. The palate is lively with dried fennel, white sage and an earthy mintiness, which all give spice to the underlying base of ripe raspberry fruit. It's extremely delicious and deeply layered.",Ten,95,82,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Sea Smoke 2013 Ten Pinot Noir (Sta. Rita Hills),Pinot Noir,Sea Smoke,34.6422431,-120.438894
10145,US,"This head-turning wine was made from vines planted in the 1970s and 1990sÉ??a selection that shocks with its complex beauty. Pine forest and Christmas spice notes accent cranberry, rhubarb and tart citrus flavors, all seemingly infused with seductive smoke. At its juicy core is an earthy, mushroomy component.",Rochioli Vineyard,95,75,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Gary Farrell 2015 Rochioli Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Gary Farrell,38.483083,-122.80327
10146,US,"This classic Napa Cabernet is juicy in explosive black cherry and cassis flavors that pair with firm, integrated tannin and an elegant structure. The oak is restrained, contributing complementary baking-spice accents. Long and sublime on the finish. Best from 2024É??2040.",Martin Stelling Vineyard,95,165,California,Oakville,Napa,Virginie Boone,@vboone,Nickel & Nickel 2014 Martin Stelling Vineyard Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Nickel & Nickel,43.467517,-79.6876659
11115,US,"Extremely alluring aromas of black plum and blackberry meet with touches of caramel, vanilla and fresh rose on the nose of this bottling. Raspberry and cranberry pop on the sip, but it's the garrigue character of black sage and thyme, plus a bit of white pepper, that rounds out the seamlessly integrated palate.",John Sebastiano Vineyard,95,52,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Foxen 2015 John Sebastiano Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Foxen,34.6422431,-120.438894
8113,US,"A star even among a stellar group of 2012 releases from Elk Cove, this 20-year-old vineyard really delivers the goods. Time has tempered the herbal aromatics, giving this rich, ripe effort a subtle subtext of olive and sage. Black cherry, dark chocolate and a dusty, mocha finish with a hint of habanero pepper bring this wine together beautifully. Delicious already, it should continue to improve 2025É??2030.",Roosevelt,95,85,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine?ˇ,Elk Cove 2012 Roosevelt Pinot Noir (Willamette Valley),Pinot Noir,Elk Cove,44.942554,-122.9337615
8112,US,"This vineyard was planted specifically for the No Girls project. The wine is fresh, fragrant and intensely floral, with a mix of rosewater and orange zest. Elegant, with a delicate, lacy texture, the flavors are savory and salty, braced with stiff, lightly peppery tannins. Notes of funk and mushroom come into play as it finishes gracefully and with unexpected length.",La Paciencia Vineyard,95,65,Oregon,Walla Walla Valley (OR),Oregon Other,Paul Gregutt,@paulgwine?ˇ,No Girls 2011 La Paciencia Vineyard Grenache (Walla Walla Valley (OR)),Grenache,No Girls,46.0655953,-118.3387429
5249,US,"This is a stunning, vibrantly robust and intense wine, big, bold and reductive and blended with 3% Petite Sirah. Floral aromas take on meaty, gamy overtones amidst black licorice, tar and juicy strawberry, the tannins silky and supportive and the finish leathery and spicy.",Relentless,95,87,California,Napa Valley,Napa,Virginie Boone,@vboone,Shafer 2013 Relentless Syrah (Napa Valley),Syrah,Shafer,38.5024689,-122.2653887
5248,US,"There are excellent savory qualities to this bottling, with white pepper, charred lamb, soy and pine resin adding much intrigue to the black currant fruit. The umami character is strong on the sip, with beef jerky, black pepper and wild mushroom broth flavors, but there is also some tangy fruit as well as upright tannins that will keep this wine singing for years. Drink nowÉ??2028.",MJM,95,75,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Dragonette 2013 MJM Syrah (Santa Ynez Valley),Syrah,Dragonette,34.5841542,-120.0973685
1513,US,"Bringing together multiple sites in one wine, this provides a fine example of the sum equalling more than the parts. Well balanced and crafted, it offers aromas of sandalwood and smoked meat that contrast with more exuberant, textured layers of black cherry and citrus peel.",Russian River Selection,95,45,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Gary Farrell 2014 Russian River Selection Pinot Noir (Russian River Valley),Pinot Noir,Gary Farrell,38.483083,-122.80327
16308,US,"This is a stunning Pinot Noir, especially from a Syrah-focused winery. Beautiful aromas of lavender, thyme, wild mint and dewy spring sage meet with crushed graphite and fresh raspberries on the nose. The palate coalesces those elements expertly, with red cherry and strawberry syrup dusted by herbs and finished by licorice, all presented on a soft yet engaging texture.",Bien Nacido Vineyard,95,48,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Zaca Mesa 2015 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Zaca Mesa,34.9025217,-120.4478438
14844,US,"Bright raspberry and strawberry flavors kick off this well-balanced effort. It's buoyed by ample natural acidity and adorned with highlights of pastry and baking spices. It expands gracefully as it breathes, adding volume and density. Give this extra cellar time. It should drink best from 2018É??2030.",Estate Vineyard,95,60,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine?ˇ,Ayoub 2014 Estate Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Ayoub,45.277904,-123.018535
1509,US,"From stunningly set vines overlooking the Carmel Valley that in this vintage produced only 1.25 tons an acre (or 1.12 pounds per plant) comes this stellar wine, redolent on the nose with black plum, mulberry, turned earth, wet mud, woody sagebrush, incense and sandalwood. There is great energy on the palate, with mulberry and elderberry flavors enhanced by light coffee, soil and fennel bulbs.",Estate Reserve,95,55,California,Carmel Valley,Central Coast,Matt Kettmann,@mattkettmann,Albatross Ridge 2014 Estate Reserve Pinot Noir (Carmel Valley),Pinot Noir,Albatross Ridge,36.4799024,-121.7327931
1508,US,"From the Happy Canyon-based team behind the ultra luxury Crown Point project comes this bottling, offering a taste of the high life for a slightly more affordable price. Pressed blueberry, black cherry and sour plum aromas mesh with dried oregano, bay leaf, black pepper and pencil shavings on the nose. There's lots of depth to the palate, with dark olallieberry, eucalyptus oil and pine needle flavors leading into a hazelnut, caramel, coffee and vanilla finish.",Fletcher's,95,75,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Westerly 2012 Fletcher's Red (Santa Ynez Valley),Red Blend,Westerly,34.5841542,-120.0973685
1510,US,"Black in the glass and dense with aromas of cooked blueberry, vanilla, maple syrup, brown sugar, tar, fudge and fresh purple flowers, this wine takes ripeness and concentration to impressive heights. Lavish on the palate with sticky, grippy tannins, the flavors of blueberry fudge, cola, black pepper and lavender are bold and delicious.",Nuts & Bolts,95,47,California,California,California Other,Matt Kettmann,@mattkettmann,Herman Story 2014 Nuts & Bolts Syrah (California),Syrah,Herman Story,36.778261,-119.4179324
1511,US,"This is a stellar wine. Dusty citrus spiked with clove comes to mind first aromatically and continues through to the palate. Tart acidity supports sublime texture and a lightness that never means lean. Red currant, grapefruit and orange provide additional lift and focus.",Rochioli Vineyard,95,75,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Gary Farrell 2014 Rochioli Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Gary Farrell,38.483083,-122.80327
16781,US,"The winery's second vintage from this site, Calegari is medium-weight, with structured oak and a silky palate. It's a ripe expression of anise and red cherry that's juicy, spicy and complex, with pretty violet aromas.",Calegari Vineyard,95,55,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Williams Selyem 2012 Calegari Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem,38.483083,-122.80327
21665,US,"Much in the style of Leonetti Cabernet, with the richness of Napa Valley fruit, this deeply satisfying, superripe wine is 100% varietal. Notes of cassis, fig and a hint of prune are swathed in deeper flavors of espresso and dark chocolate.",Champoux & Loess Vineyards Reserve,95,100,Washington,Washington,Washington Other,Paul Gregutt,@paulgwine?ˇ,Boudreaux Cellars 2007 Champoux & Loess Vineyards Reserve Cabernet Sauvignon (Washington),Cabernet Sauvignon,Boudreaux Cellars,47.7510741,-120.7401385
1512,US,"Sourced largely from the Martin Stelling Vineyard behind the winery in the western shade of Oakville, this wine opens with charred oak and a smoky, meaty character that intrigues. Seamless on the palate in soft, perceptible tannin, it delves into characteristics of cedar and brushy sage as it goes, unveiling a wildness that's hard to contain. Its bright, fresh finish gives it a roundness that's ready to enjoy now.",Estate Bottled,95,155,California,Oakville,Napa,Virginie Boone,@vboone,Far Niente 2013 Estate Bottled Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Far Niente,43.467517,-79.6876659
5246,US,"If anyone can elevate Oregon's already excellent Chardonnays to the next level, it's Jacques Lardi??re, who makes R??sonance for Louis Jadot after four decades at their winery in Burgundy. This nutty toasty chiseled wine has impeccable breeding, power and elegance. White peach, pear and apple fruit is wrapped in lush barrel flavors of caramel, buttered toast and vanilla wafer, with firm acids for a foundation. Drink now and on through 2025.",Hyland Vineyard,95,50,Oregon,McMinnville,Willamette Valley,Paul Gregutt,@paulgwine?ˇ,R??sonance 2015 Hyland Vineyard Chardonnay (McMinnville),Chardonnay,R??sonance,45.2101162,-123.1987163
16302,US,"This wine is undeniably floral and voluptuous and hard to resist on the nose alone. Honeysuckle, lemon peel and flint tease and please around a focused core of oak and gritty texture of stone. Full bodied, it's lush and slightly reducedÉ??a compelling statement on power and grace.",Pratt Vineyard Vine Hill Road,95,45,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,MacPhail 2015 Pratt Vineyard Vine Hill Road Chardonnay (Russian River Valley),Chardonnay,MacPhail,38.483083,-122.80327
16303,US,"Beautiful in peach color, this blends 73% Chardonnay and 27% Pinot Noir. Dry and crisp, it tangles together vibrant flavors of grapefruit, tangerine and cherry, as aromas of rose petal whisper by. A stony mineral component adds complexity and invitation to the texture.",Querencia Brut Ros??,95,55,California,Napa Valley,Napa,Virginie Boone,@vboone,Schramsberg 2013 Querencia Brut Ros?? Sparkling (Napa Valley),Sparkling Blend,Schramsberg,38.5024689,-122.2653887
16304,US,"This remarkable wine offers soft luxury between its balance of fresh red cherry and cassis and the velvety grip of tannic concentration. Spiky persistent acidity guides a freshness of forest floor, sage and tobacco, the power entirely graceful in the glass.",Cloudy's Vineyard,95,125,California,Napa Valley,Napa,Virginie Boone,@vboone,Janzen 2014 Cloudy's Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Janzen,38.5024689,-122.2653887
21074,US,"Hearty black plums, smoked beef and violets meet with rust, crushed rocks and a little dried sage on the nose of Russell From's blend of 45% Grenache, 35% Syrah, 18% Mourv??dre and 2% Tannat. Intense and dark blueberry-blackberry fruit shows on the palate along with elegant herbs and spices, from bay leaf and thyme to powerful black pepper. This wine is an attention-grabber for sure.",Casual Encounters,95,48,California,California,California Other,Matt Kettmann,@mattkettmann,Herman Story 2013 Casual Encounters Red (California),Rh??ne-style Red Blend,Herman Story,36.778261,-119.4179324
16306,US,"Despite amazingly luscious aromas of star anise, stewed black cherry, black currant pie and coffee cake, this bottling still offers a prominent line of wet gravel and river stone minerality on the nose. Exotic mulberry and black cherry flavors ride atop the soft tannins and an underlying acidity, while white pepper dust and menthol unfold on the finish.",Rita's Crown,95,44,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Walt 2015 Rita's Crown Pinot Noir (Sta. Rita Hills),Pinot Noir,Walt,34.6422431,-120.438894
16307,US,"Originating from a small, new producer based in the Napa Valley, this shows crushed stone and golden oak. Its essential succulence is that of high-toned citrus and apple kissed in caramel. A tease of lingering acidity makes it undeniably fresh and deliciously crisp.",Laurent Ritchie Vineyard,95,65,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Metzker Family Estates 2015 Laurent Ritchie Vineyard Chardonnay (Russian River Valley),Chardonnay,Metzker Family Estates,38.483083,-122.80327
2601,US,"A stunning effort from Beckstoffer's famously gravelly site, this is a 100% varietal wine from one clone, made in a tiny amount. Exquisite aromas of blackberry and leather surround a velvety texture and spiky acidity, the tannins integrated and lengthy, with room to grow over time. Powerfully full bodied, this is a classic representation of the valley in expansive celebration of a ridiculously good vintage. Drink now through 2023.",Beckstoffer Las Piedras Heritage Single Vineyard,94,250,California,St. Helena,Napa,Virginie Boone,@vboone,Guarachi Family 2013 Beckstoffer Las Piedras Heritage Single Vineyard Cabernet Sauvignon (St. Helena),Cabernet Sauvignon,Guarachi Family,-15.9650104,-5.7089241
2820,US,"There's an elegant weave to the aromas of this bottling, with soy, dried dill, peppercorns, crushed gravel and a touch of cedar laced throughout the black fruit on the nose. Perfectly rounded black currant, black cassis and black cherry fruits show on the sip, which is leveled by violets and pencil shavings.",Reserve,94,65,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Daou 2013 Reserve Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Daou,35.6368759,-120.6545022
2218,US,"Plush black-currant aromas meet with light licorice and a plum-pudding note on the nose of this 70% Grenache, 28% Syrah, 1% Mourv??dre and 1% Viognier blend. It dries up tightly on the palate, showing blackberry alongside strong licorice and violet elements, all framed by a chalky structure.",WCS Jack John,94,75,California,Paso Robles Willow Creek District,Central Coast,Matt Kettmann,@mattkettmann,Jada Vineyard & Winery 2014 WCS Jack John Red (Paso Robles Willow Creek District),Rh??ne-style Red Blend,Jada Vineyard & Winery,35.5780474,-120.7801593
2388,US,"Randall Grahm notes that this is one of his best Syrahs from this historic vineyard, and it's hard to disagree. Aromas of gravel, just-crushed peppercorns and blueberries lead into a lighter, airy, mineral-driven palate of black rocks, black pepper and boysenberry fruit. It's one of the better cool-climate Syrahs around right now.",Bien Nacido X Block,94,50,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Bonny Doon 2011 Bien Nacido X Block Syrah (Santa Maria Valley),Syrah,Bonny Doon,34.9025217,-120.4478438
2822,US,"This well-aged Cab offers savory and lovely aromas of salted Asian plum, light licorice, dried violets and lilacs, and expertly seasoned beef. The palate retains a tense, chewy structure and juicy acidity that frames flavors of dried blueberry, rose hips and more plum.",George's Vineyard,94,41,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Cooper-Garrod 2010 George's Vineyard Cabernet Sauvignon (Santa Cruz Mountains),Cabernet Sauvignon,Cooper-Garrod,37.1108921,-121.8448906
2215,US,"Winemaker Doug Boeschen has but one acre of this variety, and he puts it to tremendous use here, in this tamed, food-friendly expression of a robust grape. This vintage is his first single-bottling of PV. Soft, integrated tannin supports juicy black currant and a svelte layering of dark chocolate, punctured by an arsenal of beautiful violet aromas.",Estate,94,95,California,Napa Valley,Napa,Virginie Boone,@vboone,Boeschen Vineyards 2013 Estate Petit Verdot (Napa Valley),Petit Verdot,Boeschen Vineyards,38.5024689,-122.2653887
2221,US,"This smoky, earthy, soft and delicate wine comes from an estate vineyard planted in 1999 in the Occidental Hills. Rose petals and cranberry mingle effortlessly on the silky palate, while a bite of black tea and tannin tease on the finish.",MK Vineyard,94,82,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Small Vines 2014 MK Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Small Vines,38.4052701,-123.096764
21740,US,"This is the first all-estate-grown Chardonnay bottled by Woodward Canyon since 2003. Fermented in one-year-old Burgundy barrels, it's a Washington Chablis that brings exceptional focus and persistence to bear on flavors of intense citrus, honeyed candy, orange peel, spice and even a slim hint of chocolate. The mix of fruit, herb and mineral combines to create a terroir-laden wine that is beautifully complex and proportioned.",Estate,94,48,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Woodward Canyon 2009 Estate Chardonnay (Walla Walla Valley (WA)),Chardonnay,Woodward Canyon,46.0655953,-118.3387429
2216,US,"X is for extra dry, and this is, made from 74% Pinot Noir, the remainder Chardonnay. It jumps out of the glass in an explosion of nutty, salty lemon peel, dry as a bone and rewarding in its full embrace of minerality. This sparkler begs for oysters and a skiff out to sea.",Brut X,94,50,California,Green Valley,Sonoma,Virginie Boone,@vboone,Iron Horse 2011 Brut X Sparkling (Green Valley),Sparkling Blend,Iron Horse,31.8542511,-110.9937019
13269,US,"Relatively light in color, this lower-alcohol wine from a vineyard in the Corralitos area shows dried rose petals, bergamot, lavender, cinnamon and a tiny bit of mushroomy funk on the nose. Once sipped, pomegranate, dark cranberry and orange-peel elements are lifted by pencil lead, rosemary and a strong thyme component.",Woodruff Family Vineyard,94,59,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Big Basin 2013 Woodruff Family Vineyard Pinot Noir (Santa Cruz Mountains),Pinot Noir,Big Basin,37.1108921,-121.8448906
2219,US,"From the only producer to source Zin from this famous vineyard, this wine is abundant in a complexity of baked bread, blackberry jam and vanilla, with endless depth on the palate. Fresh and juicy, it balances its fruitiness with mountain-sized tannin strength and concentration.",Stagecoach Vineyard,94,52,California,Napa Valley,Napa,Virginie Boone,@vboone,Robert Biale 2014 Stagecoach Vineyard Zinfandel (Napa Valley),Zinfandel,Robert Biale,38.5024689,-122.2653887
2217,US,"Baked black plum, gingerbread, dried mint, clove-laden cherry pie and a touch of light licorice show on the nose of this rich style of Pinot from the Santa Ynez-based, family-owned winery. The palate starts with rich black-cherry fruit, but then dives into an intriguing wash of thyme, sagebrush and anise, finishing on dried cranberry and pomegranate.",Limited Selection,94,55,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Gainey 2014 Limited Selection Pinot Noir (Sta. Rita Hills),Pinot Noir,Gainey,34.6422431,-120.438894
11434,US,"This expertly woven wine proves very cohesive and well balanced, despite its intent to compete with the bigger, often richer wines of the luxury category. Blueberry and blackberry aromas meet with charred wood, graphite and chocolate on the elegant nose. The ripe berry flavors are wrapped in cocoa and light cedar spice, laced together with buoyant acidity.",Ephemera,94,125,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Broadside 2014 Ephemera Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Broadside,35.6368759,-120.6545022
12962,US,"This delightfully pure expression of the Syrah grape seduces from the first sniff, which sails along on a flying carpet of blue and purple fruits, licorice, clove and tobacco. The beguiling aromas continue in the mouth, where the wine assumes a seamless, plump and powerful presence. Ciel du Cheval Syrah is every bit as good as the Bordeaux grapes for which the vineyard is most famous.",Ciel du Cheval Vineyard,94,35,Washington,Red Mountain,Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Januik 2011 Ciel du Cheval Vineyard Syrah (Red Mountain),Syrah,Januik,49.1024147,-117.8194705
